cp_hex	char	count	block	category	name
U+6B78	歸	102	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B78
U+6CF0	泰	101	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6CF0
U+79AE	禮	101	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-79AE
U+8B19	謙	101	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8B19
U+96F7	雷	101	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-96F7
U+99AC	馬	101	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-99AC
U+6975	極	100	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6975
U+7109	焉	100	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7109
U+906F	遯	100	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-906F
U+9F8D	龍	99	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9F8D
U+5149	光	98	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5149
U+8846	衆	98	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8846
U+64DA	據	97	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-64DA
U+6D88	消	97	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6D88
U+5185	内	96	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5185
U+5A66	婦	96	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5A66
U+606F	息	96	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-606F
U+9F0E	鼎	96	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9F0E
U+5B89	安	95	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B89
U+5151	兑	94	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5151
U+5584	善	94	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5584
U+7236	父	94	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7236
U+96E3	難	94	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-96E3
U+548C	和	93	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-548C
U+5F56	彖	93	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F56
U+640D	損	93	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-640D
U+8EAB	身	93	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8EAB
U+9047	遇	93	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9047
U+52FF	勿	92	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-52FF
U+53B2	厲	92	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53B2
U+5B9C	宜	92	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B9C
U+4E95	井	91	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E95
U+89E3	解	91	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-89E3
U+985E	類	91	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-985E
U+98A8	風	91	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-98A8
U+591A	多	90	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-591A
U+5BF3	寳	90	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BF3
U+6538	攸	90	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6538
U+6FA4	澤	90	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6FA4
U+755C	畜	90	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-755C
U+83AB	莫	90	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-83AB
U+516C	公	89	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-516C
U+55AA	喪	89	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-55AA
U+5169	兩	88	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5169
U+541D	吝	88	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-541D
U+81F4	致	88	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-81F4
U+7BC0	節	87	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7BC0
U+9000	退	86	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9000
U+5B9A	定	84	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B9A
U+7ACB	立	84	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7ACB
U+4ECA	今	82	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4ECA
U+5265	剥	82	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5265
U+4E91	云	81	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E91
U+58EF	壯	81	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-58EF
U+5F81	征	81	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F81
U+4F0F	伏	80	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F0F
U+7336	猶	80	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7336
U+81E8	臨	80	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-81E8
U+6C42	求	78	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6C42
U+9824	頤	78	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9824
U+56F0	困	77	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-56F0
U+5BE6	實	77	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BE6
U+0028	(	76	Basic Latin	Ps	LEFT PARENTHESIS
U+0029	)	76	Basic Latin	Pe	RIGHT PARENTHESIS
U+002F	/	76	Basic Latin	Po	SOLIDUS
U+5EB7	康	76	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5EB7
U+6052	恒	76	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6052
