cp_hex	char	count	block	category	name
U+5C6C	屬	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C6C
U+5DE2	巢	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5DE2
U+5DE5	工	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5DE5
U+5E03	布	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E03
U+5E1B	帛	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E1B
U+5E36	帶	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E36
U+5E55	幕	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E55
U+5E72	干	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E72
U+5EE2	廢	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5EE2
U+5F0B	弋	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F0B
U+5F18	弘	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F18
U+5F26	弦	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F26
U+5F31	弱	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F31
U+5F35	張	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F35
U+5F37	強	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F37
U+5F4C	彌	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F4C
U+5F7C	彼	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F7C
U+5F91	徑	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F91
U+5FBD	徽	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FBD
U+5FCC	忌	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FCC
U+5FE0	忠	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FE0
U+5FFF	忿	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FFF
U+6020	怠	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6020
U+6028	怨	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6028
U+6065	恥	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6065
U+6089	悉	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6089
U+60DF	惟	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-60DF
U+6101	愁	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6101
U+614D	慍	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-614D
U+615A	慚	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-615A
U+61FF	懿	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-61FF
U+6208	戈	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6208
U+621A	戚	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-621A
U+624B	手	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-624B
U+624D	才	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-624D
U+62DB	招	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-62DB
U+6387	掇	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6387
U+6398	掘	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6398
U+63A2	探	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-63A2
U+63A3	掣	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-63A3
U+63C6	揆	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-63C6
U+63C9	揉	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-63C9
U+63E1	握	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-63E1
U+63F2	揲	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-63F2
U+6469	摩	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6469
U+652F	支	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-652F
U+6536	收	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6536
U+653F	政	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-653F
U+65B2	斲	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65B2
U+65C9	旉	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65C9
U+65CB	旋	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65CB
U+65CF	族	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65CF
U+65E8	旨	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65E8
U+65E9	早	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65E9
U+6627	昧	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6627
U+662D	昭	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-662D
U+6662	晢	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6662
U+666E	普	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-666E
U+6689	暉	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6689
U+66A2	暢	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-66A2
U+6731	朱	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6731
U+675E	杞	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-675E
U+675F	束	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-675F
U+6795	枕	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6795
U+6797	林	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6797
U+679D	枝	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-679D
U+67DD	柝	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-67DD
U+682A	株	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-682A
U+684E	桎	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-684E
U+688F	梏	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-688F
U+68C4	棄	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-68C4
U+68D8	棘	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-68D8
U+68FA	棺	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-68FA
U+6901	椁	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6901
U+69C1	槁	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-69C1
U+69CB	構	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-69CB
U+6A39	樹	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6A39
