cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+6C59	汙	24955	U+6C61	污	19791	1.261	kSemanticVariant
U+7FA1	羡	22841	U+7FA8	羨	19769	1.155	kSemanticVariant
U+6B35	欵	27215	U+6B3E	款	19732	1.379	kSemanticVariant
U+51FA	出	2143604	U+5C80	岀	19528	109.771	kSemanticVariant
U+84B8	蒸	85156	U+70DD	烝	19361	4.398	kSemanticVariant
U+6578	數	1113298	U+6570	数	19190	58.014	kSimplifiedVariant,kTraditionalVariant
U+80F8	胸	136348	U+80F7	胷	19034	7.163	kSemanticVariant
U+5308	匈	29853	U+80F7	胷	19034	1.568	kSemanticVariant
U+902E	逮	59699	U+8FE8	迨	19016	3.139	kSemanticVariant,kSpecializedSemanticVariant
U+57FA	基	79910	U+62EF	拯	18852	4.239	kSpecializedSemanticVariant
U+8AE1	諡	64994	U+8B1A	謚	18523	3.509	kSemanticVariant
U+8C4E	豎	24917	U+7AEA	竪	18307	1.361	kSemanticVariant
U+7051	灑	40330	U+6D12	洒	18173	2.219	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+92B3	銳	25003	U+92ED	鋭	18173	1.376	kZVariant
U+5B83	它	28651	U+4F57	佗	18011	1.591	kSemanticVariant
U+6BBC	殼	50515	U+6BBB	殻	17995	2.807	kSpecializedSemanticVariant
U+610D	愍	35763	U+61AB	憫	17958	1.991	kSemanticVariant
U+8F29	輩	75117	U+8EF0	軰	17890	4.199	kSemanticVariant
U+4E43	乃	1461552	U+8FFA	迺	17875	81.765	kSemanticVariant
U+7E8E	纎	27648	U+7E96	纖	17795	1.554	kSemanticVariant
U+8105	脅	61859	U+8107	脇	17780	3.479	kSemanticVariant
U+5BC3	寃	20699	U+51A4	冤	17623	1.175	kSemanticVariant
U+5353	卓	69377	U+68F9	棹	17484	3.968	kSpecializedSemanticVariant
U+6389	掉	18048	U+68F9	棹	17484	1.032	kSpecializedSemanticVariant
U+91DD	針	85025	U+7BB4	箴	17402	4.886	kSemanticVariant
U+660F	昏	127595	U+662C	昬	17368	7.347	kSemanticVariant
U+707D	災	110817	U+707E	灾	17328	6.395	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+651C	攜	31784	U+643A	携	17307	1.836	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5377	卷	590950	U+6372	捲	17251	34.256	kSimplifiedVariant,kTraditionalVariant
U+8499	蒙	122179	U+6FDB	濛	17192	7.107	kSimplifiedVariant,kTraditionalVariant
U+5E78	幸	228496	U+5016	倖	17076	13.381	kSemanticVariant
U+5948	奈	66087	U+67F0	柰	16964	3.896	kSemanticVariant
U+9149	酉	109733	U+914B	酋	16894	6.495	kSpecializedSemanticVariant
U+55AB	喫	30710	U+5403	吃	16761	1.832	kSemanticVariant
U+6377	捷	32385	U+3A17	㨗	16731	1.936	kSemanticVariant
U+5265	剥	20748	U+525D	剝	16705	1.242	kSimplifiedVariant,kTraditionalVariant
U+5BEB	寫	80985	U+51A9	冩	16650	4.864	kSemanticVariant
U+4EC7	仇	35089	U+8B90	讐	16608	2.113	kSemanticVariant,kSpecializedSemanticVariant
U+8B8E	讎	21914	U+8B90	讐	16608	1.319	kSemanticVariant
U+8A60	詠	81746	U+548F	咏	16584	4.929	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+4E43	乃	1461552	U+5EFC	廼	16511	88.520	kSemanticVariant
U+8FFA	迺	17875	U+5EFC	廼	16511	1.083	kSemanticVariant
U+6298	折	195730	U+647A	摺	16436	11.909	kSimplifiedVariant,kTraditionalVariant
U+6566	敦	66993	U+60C7	惇	16413	4.082	kSemanticVariant
U+526A	剪	28046	U+7FE6	翦	16384	1.712	kSemanticVariant
U+6FF5	濵	17935	U+6FF1	濱	16293	1.101	kSemanticVariant
U+9A57	驗	115190	U+9A10	騐	16215	7.104	kSemanticVariant
