cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+4E94	五	2669735	U+4F0D	伍	60509	44.121	kSpecializedSemanticVariant
U+6C92	沒	99923	U+6CA1	没	60088	1.663	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+4E8C	二	4463849	U+8CB3	貳	58609	76.163	kSemanticVariant,kSpecializedSemanticVariant
U+8591	薑	57924	U+59DC	姜	57018	1.016	kSimplifiedVariant,kTraditionalVariant
U+8303	范	129559	U+7BC4	範	56947	2.275	kSimplifiedVariant,kTraditionalVariant
U+57DF	域	77806	U+8B7D	譽	56258	1.383	kSpecializedSemanticVariant
U+624D	才	306677	U+7E94	纔	55615	5.514	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+5E72	干	170712	U+5E79	幹	55436	3.079	kSimplifiedVariant,kTraditionalVariant
U+9451	鑑	68856	U+9452	鑒	55134	1.249	kSemanticVariant
U+79D8	秘	61332	U+7955	祕	53732	1.141	kSemanticVariant
U+6B4E	歎	145682	U+5606	嘆	52164	2.793	kSemanticVariant
U+5F26	弦	58726	U+7D43	絃	49733	1.181	kSemanticVariant
U+9951	饑	65111	U+98E2	飢	48744	1.336	kSemanticVariant
U+5E7E	幾	262443	U+51E0	几	48265	5.438	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+7B54	答	320768	U+8345	荅	47378	6.770	kSemanticVariant
U+5F3A	强	135443	U+5F4A	彊	47362	2.860	kSemanticVariant,kSpecializedSemanticVariant
U+5F37	強	74039	U+5F4A	彊	47362	1.563	kSemanticVariant,kSpecializedSemanticVariant
U+5FD7	志	836851	U+8A8C	誌	46320	18.067	kSimplifiedVariant,kTraditionalVariant
U+52C5	勅	68430	U+6555	敕	45804	1.494	kSemanticVariant,kSpecializedSemanticVariant
U+677F	板	48043	U+7248	版	45374	1.059	kSemanticVariant
U+89E3	解	663252	U+89E7	觧	42862	15.474	kSemanticVariant,kSpecializedSemanticVariant
U+6BD8	毘	49434	U+6BD7	毗	41859	1.181	kSemanticVariant
U+4E26	並	381390	U+7ADD	竝	39995	9.536	kSemanticVariant
U+5E76	并	213031	U+7ADD	竝	39995	5.326	kSemanticVariant
U+8F9F	辟	121903	U+95E2	闢	39054	3.121	kSimplifiedVariant,kTraditionalVariant
U+9684	隄	39056	U+5824	堤	38467	1.015	kSemanticVariant
U+8000	耀	50414	U+66DC	曜	38350	1.315	kSemanticVariant
