variant_type	side	cp_hex	char	count	name
kSemanticVariant	source	U+5BBF	宿	246492	CJK UNIFIED IDEOGRAPH-5BBF
kSemanticVariant	source	U+8D64	赤	244325	CJK UNIFIED IDEOGRAPH-8D64
kSemanticVariant	source	U+7BA1	管	244172	CJK UNIFIED IDEOGRAPH-7BA1
kSemanticVariant	source	U+5922	夢	243710	CJK UNIFIED IDEOGRAPH-5922
kSemanticVariant	source	U+9867	顧	242615	CJK UNIFIED IDEOGRAPH-9867
kSemanticVariant	source	U+53EA	只	239618	CJK UNIFIED IDEOGRAPH-53EA
kSemanticVariant	source	U+65E0	无	236105	CJK UNIFIED IDEOGRAPH-65E0
kSemanticVariant	source	U+71B1	熱	235342	CJK UNIFIED IDEOGRAPH-71B1
kSemanticVariant	source	U+6A5F	機	232005	CJK UNIFIED IDEOGRAPH-6A5F
kSemanticVariant	source	U+64AB	撫	231846	CJK UNIFIED IDEOGRAPH-64AB
kSemanticVariant	source	U+7C21	簡	231809	CJK UNIFIED IDEOGRAPH-7C21
kSemanticVariant	source	U+53D4	叔	231388	CJK UNIFIED IDEOGRAPH-53D4
kSemanticVariant	source	U+838A	莊	230571	CJK UNIFIED IDEOGRAPH-838A
kSemanticVariant	source	U+4F59	余	228752	CJK UNIFIED IDEOGRAPH-4F59
kSemanticVariant	source	U+6536	收	226409	CJK UNIFIED IDEOGRAPH-6536
kSemanticVariant	source	U+6A13	樓	226001	CJK UNIFIED IDEOGRAPH-6A13
kSemanticVariant	source	U+5E78	幸	224234	CJK UNIFIED IDEOGRAPH-5E78
kSemanticVariant	source	U+9670	陰	223934	CJK UNIFIED IDEOGRAPH-9670
kSemanticVariant	source	U+6557	敗	216360	CJK UNIFIED IDEOGRAPH-6557
kSemanticVariant	source	U+7372	獲	216327	CJK UNIFIED IDEOGRAPH-7372
kSemanticVariant	source	U+96DC	雜	216278	CJK UNIFIED IDEOGRAPH-96DC
kSemanticVariant	source	U+535A	博	214790	CJK UNIFIED IDEOGRAPH-535A
kSemanticVariant	source	U+5E76	并	213031	CJK UNIFIED IDEOGRAPH-5E76
kSemanticVariant	source	U+5C06	将	212259	CJK UNIFIED IDEOGRAPH-5C06
kSemanticVariant	source	U+79FB	移	212083	CJK UNIFIED IDEOGRAPH-79FB
kSemanticVariant	source	U+7B11	笑	210481	CJK UNIFIED IDEOGRAPH-7B11
kSemanticVariant	source	U+5112	儒	208829	CJK UNIFIED IDEOGRAPH-5112
kSemanticVariant	source	U+9EBC	麼	207945	CJK UNIFIED IDEOGRAPH-9EBC
kSemanticVariant	source	U+7D71	統	205994	CJK UNIFIED IDEOGRAPH-7D71
kSemanticVariant	source	U+6D1E	洞	203316	CJK UNIFIED IDEOGRAPH-6D1E
kSemanticVariant	source	U+5BF3	寳	203252	CJK UNIFIED IDEOGRAPH-5BF3
kSemanticVariant	source	U+6B72	歲	202290	CJK UNIFIED IDEOGRAPH-6B72
kSemanticVariant	source	U+7B46	筆	200546	CJK UNIFIED IDEOGRAPH-7B46
kSemanticVariant	source	U+6148	慈	199781	CJK UNIFIED IDEOGRAPH-6148
kSemanticVariant	source	U+76D6	盖	198726	CJK UNIFIED IDEOGRAPH-76D6
kSemanticVariant	source	U+88CF	裏	196368	CJK UNIFIED IDEOGRAPH-88CF
kSemanticVariant	source	U+5374	却	196226	CJK UNIFIED IDEOGRAPH-5374
kSemanticVariant	source	U+56DE	回	192249	CJK UNIFIED IDEOGRAPH-56DE
kSemanticVariant	source	U+865E	虞	191992	CJK UNIFIED IDEOGRAPH-865E
