cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+79AE	禮	1203292	U+793C	礼	8467	142.116	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6522	攢	8282	U+6512	攒	59	140.373	kSimplifiedVariant,kTraditionalVariant
U+8E9A	躚	1089	U+8DF9	跹	8	136.125	kSimplifiedVariant,kTraditionalVariant
U+97FF	響	63209	U+54CD	响	468	135.062	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+806F	聯	14039	U+8054	联	104	134.990	kSimplifiedVariant,kTraditionalVariant
U+863F	蘿	25204	U+841D	萝	187	134.781	kSimplifiedVariant,kTraditionalVariant
U+93D8	鏘	9858	U+9535	锵	74	133.216	kSimplifiedVariant,kTraditionalVariant
U+5EC2	廂	14067	U+53A2	厢	108	130.250	kSimplifiedVariant,kTraditionalVariant
U+798D	禍	126232	U+7978	祸	975	129.469	kSimplifiedVariant,kTraditionalVariant
U+617A	慺	884	U+396A	㥪	7	126.286	kSimplifiedVariant,kTraditionalVariant
U+584B	塋	9680	U+8314	茔	77	125.714	kSimplifiedVariant,kTraditionalVariant
U+5F4C	彌	170176	U+5F25	弥	1359	125.221	kSimplifiedVariant,kTraditionalVariant
U+52E9	勩	1352	U+52DA	勚	11	122.909	kSimplifiedVariant,kTraditionalVariant
U+7C6C	籬	26424	U+7BF1	篱	219	120.658	kSimplifiedVariant,kTraditionalVariant
U+6B12	欒	19767	U+683E	栾	165	119.800	kSimplifiedVariant,kTraditionalVariant
U+756B	畫	296756	U+753B	画	2498	118.797	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+71DF	營	224413	U+8425	营	1895	118.424	kSimplifiedVariant,kTraditionalVariant
U+5852	塒	462	U+57D8	埘	4	115.500	kSimplifiedVariant,kTraditionalVariant
U+7A2E	種	629615	U+79CD	种	5481	114.872	kSimplifiedVariant,kTraditionalVariant
U+580A	堊	4680	U+57A9	垩	41	114.146	kSimplifiedVariant,kTraditionalVariant
U+81F4	致	464558	U+7DFB	緻	4082	113.806	kSimplifiedVariant,kTraditionalVariant
U+81E0	臠	4186	U+8114	脔	38	110.158	kSimplifiedVariant,kTraditionalVariant
U+55CA	嗊	218	U+551D	唝	2	109.000	kSimplifiedVariant,kTraditionalVariant
U+96D9	雙	171081	U+53CC	双	1573	108.761	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+5A41	婁	30634	U+5A04	娄	282	108.631	kSimplifiedVariant,kTraditionalVariant
U+5B4C	孌	2273	U+5A08	娈	21	108.238	kSimplifiedVariant,kTraditionalVariant
U+736E	獮	3654	U+72DD	狝	35	104.400	kSimplifiedVariant,kTraditionalVariant
U+96B8	隸	32787	U+96B6	隶	316	103.756	kSimplifiedVariant,kTraditionalVariant
U+611B	愛	356589	U+7231	爱	3437	103.750	kSimplifiedVariant,kTraditionalVariant
U+7AB6	窶	3913	U+7AAD	窭	38	102.974	kSimplifiedVariant,kTraditionalVariant
U+8195	膕	718	U+8158	腘	7	102.571	kSimplifiedVariant,kTraditionalVariant
U+5DD4	巔	11128	U+5DC5	巅	109	102.092	kSimplifiedVariant,kTraditionalVariant
U+6F87	澇	4035	U+6D9D	涝	40	100.875	kSimplifiedVariant,kTraditionalVariant
U+7246	牆	36768	U+5899	墙	368	99.913	kSimplifiedVariant,kTraditionalVariant
U+8072	聲	816056	U+58F0	声	8191	99.628	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9ACF	髏	4976	U+9AC5	髅	50	99.520	kSimplifiedVariant,kTraditionalVariant
U+9C28	鰨	99	U+9CCE	鳎	1	99.000	kSimplifiedVariant,kTraditionalVariant
U+9EFF	黿	5593	U+9F0B	鼋	58	96.431	kSimplifiedVariant,kTraditionalVariant
U+5BE7	寧	308609	U+5B81	宁	3206	96.260	kSimplifiedVariant,kTraditionalVariant
U+61E8	懨	956	U+6079	恹	10	95.600	kSimplifiedVariant,kTraditionalVariant
