replace	cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types	major_sources	minor_sources
yes	U+8C48	豈	542653	U+5C82	岂	11	49332.091	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+7E54	織	49291	U+7EC7	织	1	49291.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+8B4F	譏	49281	U+8BA5	讥	1	49281.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATHKMP	G/AG
yes	U+6A19	標	98557	U+6807	标	2	49278.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9810	預	98191	U+9884	预	2	49095.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+98E2	飢	48744	U+9965	饥	1	48744.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8EFE	軾	48448	U+8F7C	轼	1	48448.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/CG
yes	U+91E3	釣	48168	U+9493	钓	1	48168.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8CCA	賊	337154	U+8D3C	贼	7	48164.857	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8ECC	軌	48137	U+8F68	轨	1	48137.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+897F	西	1436511	U+38B4	㢴	30	47883.700	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GJT6
yes	U+7378	獸	94604	U+517D	兽	2	47302.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
yes	U+98DB	飛	377878	U+98DE	飞	8	47234.750	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+865C	虜	45769	U+864F	虏	1	45769.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9F8D	龍	637133	U+9F99	龙	14	45509.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHTF/AG
yes	U+9032	進	814298	U+8FDB	进	18	45238.778	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7D93	經	1471083	U+7ECF	经	33	44578.273	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+6B78	歸	969163	U+489C	䢜	22	44052.864	kSemanticVariant	GHJKpKT1V/ATHKMP	GJKpT3
yes	U+9F61	齡	43703	U+9F84	龄	1	43703.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
