namespace	entity	count
kr	&KR2967;	66
kr	&KR1418;	66
kr	&KR1721;	66
kr	&KR2117;	66
kr	&KR1507;	66
kr	&KR2214;	66
kr	&KR1443;	66
kr	&KR1722;	66
kr	&KR0237;	66
kr	&KR2344;	66
kr	&KR1676;	66
kr	&KR0353;	66
kr	&KR0354;	66
kr	&KR0508;	66
kr	&KR0539;	66
kr	&KR2002;	65
kr	&KR1869;	65
kr	&KR2186;	65
kr	&KR2188;	65
kr	&KR1817;	65
kr	&KR0323;	65
kr	&KR1615;	65
kr	&KR0096;	65
kr	&KR2060;	65
kr	&KR1755;	65
kr	&KR2676;	65
kr	&KR0444;	65
kr	&KR0192;	65
kr	&KR2132;	65
kr	&KR1452;	64
kr	&KR1667;	64
kr	&KR1608;	64
kr	&KR1500;	64
kr	&KR1543;	64
kr	&KR2153;	64
kr	&KR1625;	64
kr	&KR2103;	64
kr	&KR2058;	64
kr	&KR0245;	64
kr	&KR2270;	64
kr	&KR2780;	64
kr	&KR1708;	63
kr	&KR1752;	63
kr	&KR1474;	63
kr	&KR2259;	63
kr	&KR1555;	63
kr	&KR1592;	63
kr	&KR1650;	63
kr	&KR2151;	63
kr	&KR2391;	63
kr	&KR1568;	63
kr	&KR1870;	63
kr	&KR1530;	63
kr	&KR1871;	63
kr	&KR2618;	63
kr	&KR1819;	63
kr	&KR1652;	63
kr	&KR1822;	63
kr	&KR1829;	62
kr	&KR1697;	62
kr	&KR2023;	62
kr	&KR2323;	62
kr	&KR2543;	62
kr	&KR1996;	62
kr	&KR1766;	62
kr	&KR1741;	62
kr	&KR2062;	62
kr	&KR1929;	62
kr	&KR0078;	62
kr	&KR2255;	62
kr	&KR1540;	62
kr	&KR0241;	62
kr	&KR2303;	62
kr	&KR2358;	62
kr	&KR2627;	62
kr	&KR1624;	61
kr	&KR1662;	61
kr	&KR1978;	61
kr	&KR1334;	61
kr	&KR2071;	61
kr	&KR1536;	61
kr	&KR1600;	61
kr	&KR1769;	61
kr	&KR1567;	61
kr	&KR1824;	61
kr	&KR1765;	61
kr	&KR1991;	61
kr	&KR1891;	61
